"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Mar 03 14:55:02 GMT 2022","Thu Mar 03 14:55:13 GMT 2022","10404","integration.tests.economy","test_economics","TestEconomics","","","test_failed_tx_when_less_gas","Don't get money from user if tx failed"
"passed","Thu Mar 03 14:54:19 GMT 2022","Thu Mar 03 14:54:31 GMT 2022","11472","integration.tests.economy","test_economics","TestEconomics","","","test_contract_get_is_free","Verify that get contract calls is free"
"passed","Thu Mar 03 14:52:14 GMT 2022","Thu Mar 03 14:52:23 GMT 2022","9384","integration.tests.economy","test_economics","TestEconomics","","","test_account_creation","Verify account creation spend SOL"
"passed","Thu Mar 03 14:57:22 GMT 2022","Thu Mar 03 14:57:33 GMT 2022","10982","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_more_1kb_less_gas",""
"passed","Thu Mar 03 14:56:31 GMT 2022","Thu Mar 03 14:56:45 GMT 2022","14503","integration.tests.economy","test_economics","TestEconomics","","","test_tx_interact_more_1kb_less_neon","Send to contract a big text (tx more than 1 kb) when less neon"
"skipped","Thu Mar 03 14:53:41 GMT 2022","Thu Mar 03 14:53:52 GMT 2022","10911","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_small_contract_less_gas",""
"passed","Thu Mar 03 14:54:04 GMT 2022","Thu Mar 03 14:54:19 GMT 2022","15424","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_to_losted_contract_account",""
"skipped","Thu Mar 03 14:52:59 GMT 2022","Thu Mar 03 14:52:59 GMT 2022","0","integration.tests.economy","test_economics","TestEconomics","","","test_spl_transaction",""
"passed","Thu Mar 03 14:57:47 GMT 2022","Thu Mar 03 14:58:02 GMT 2022","15228","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_to_exist_unpayed",""
"skipped","Thu Mar 03 14:55:31 GMT 2022","Thu Mar 03 14:55:45 GMT 2022","14275","integration.tests.economy","test_economics","TestEconomics","","","test_contract_interact_more_500000_bpf","Deploy a contract with more 500000 bpf"
"passed","Thu Mar 03 14:55:13 GMT 2022","Thu Mar 03 14:55:31 GMT 2022","18126","integration.tests.economy","test_economics","TestEconomics","","","test_contract_interact_more_500_steps","Deploy a contract with more 500 instructions"
"passed","Thu Mar 03 14:53:52 GMT 2022","Thu Mar 03 14:54:04 GMT 2022","12015","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_small_contract_less_neon",""
"passed","Thu Mar 03 14:52:34 GMT 2022","Thu Mar 03 14:52:47 GMT 2022","12750","integration.tests.economy","test_economics","TestEconomics","","","test_send_neon_to_exist_account","Verify how many cost neon send to use who was already initialized"
"passed","Thu Mar 03 14:52:23 GMT 2022","Thu Mar 03 14:52:34 GMT 2022","11126","integration.tests.economy","test_economics","TestEconomics","","","test_send_neon_to_unexist_account","Verify how many cost neon send to new user"
"passed","Thu Mar 03 14:57:33 GMT 2022","Thu Mar 03 14:57:47 GMT 2022","14131","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_to_payed",""
"passed","Thu Mar 03 14:53:10 GMT 2022","Thu Mar 03 14:53:23 GMT 2022","12966","integration.tests.economy","test_economics","TestEconomics","","","test_erc20_transfer","Verify ERC20 token send"
"passed","Thu Mar 03 14:56:58 GMT 2022","Thu Mar 03 14:57:10 GMT 2022","11480","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_more_1kb",""
"passed","Thu Mar 03 14:57:10 GMT 2022","Thu Mar 03 14:57:22 GMT 2022","12039","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_contract_more_1kb_less_neon",""
"passed","Thu Mar 03 14:54:49 GMT 2022","Thu Mar 03 14:55:02 GMT 2022","13810","integration.tests.economy","test_economics","TestEconomics","","","test_cost_resize_account_less_neon","Verify how much cost account resize"
"passed","Thu Mar 03 14:53:23 GMT 2022","Thu Mar 03 14:53:41 GMT 2022","17537","integration.tests.economy","test_economics","TestEconomics","","","test_deploy_small_contract_less_100tx","Verify we are bill minimum for 100 instruction"
"passed","Thu Mar 03 14:55:58 GMT 2022","Thu Mar 03 14:56:13 GMT 2022","14707","integration.tests.economy","test_economics","TestEconomics","","","test_contract_interact_more_500000_bpf_less_neon","Deploy a contract with more 500000 bpf"
"skipped","Thu Mar 03 14:56:45 GMT 2022","Thu Mar 03 14:56:58 GMT 2022","13127","integration.tests.economy","test_economics","TestEconomics","","","test_tx_interact_more_1kb_less_gas","Send to contract a big text (tx more than 1 kb)"
"passed","Thu Mar 03 14:52:47 GMT 2022","Thu Mar 03 14:52:59 GMT 2022","11803","integration.tests.economy","test_economics","TestEconomics","","","test_send_when_not_enough_for_gas",""
"passed","Thu Mar 03 14:52:59 GMT 2022","Thu Mar 03 14:53:10 GMT 2022","11489","integration.tests.economy","test_economics","TestEconomics","","","test_erc20_contract","Verify ERC20 token send"
"passed","Thu Mar 03 14:54:31 GMT 2022","Thu Mar 03 14:54:49 GMT 2022","17875","integration.tests.economy","test_economics","TestEconomics","","","test_cost_resize_account","Verify how much cost account resize"
"passed","Thu Mar 03 14:58:02 GMT 2022","Thu Mar 03 14:58:21 GMT 2022","18800","integration.tests.economy","test_economics","TestEconomics","","","test_interact_with_contract_from_non_payed_user",""
"skipped","Thu Mar 03 14:55:45 GMT 2022","Thu Mar 03 14:55:58 GMT 2022","13143","integration.tests.economy","test_economics","TestEconomics","","","test_contract_interact_more_500000_bpf_less_gas","Deploy a contract with more 500000 bpf"
"passed","Thu Mar 03 14:56:13 GMT 2022","Thu Mar 03 14:56:31 GMT 2022","17705","integration.tests.economy","test_economics","TestEconomics","","","test_tx_interact_more_1kb","Send to contract a big text (tx more than 1 kb)"
