"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 21 09:56:49 GMT 2022","Thu Apr 21 09:56:49 GMT 2022","100","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getStorage]","Check that endpoint was not implemented"
"passed","Thu Apr 21 09:56:43 GMT 2022","Thu Apr 21 09:56:43 GMT 2022","101","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_umber_via_tags[Tag.LATEST-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 21 09:56:46 GMT 2022","Thu Apr 21 09:56:46 GMT 2022","126","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_transaction_count_by_number[earliest-False]","Verify implemented rpc calls work eth_getBlockTransactionCountByNumber"
"passed","Thu Apr 21 09:56:50 GMT 2022","Thu Apr 21 09:56:50 GMT 2022","99","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_uninstallFilter]","Check that endpoint was not implemented"
"passed","Thu Apr 21 09:58:59 GMT 2022","Thu Apr 21 09:59:01 GMT 2022","1370","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_get_transaction_by_hash","Verify implemented rpc calls work eth_getTransactionByHash"
"skipped","Thu Apr 21 09:59:17 GMT 2022","Thu Apr 21 09:59:17 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_spl_wrapped_account_from_one_account_to_another","Send spl wrapped account from one account to another"
"passed","Thu Apr 21 09:57:02 GMT 2022","Thu Apr 21 09:57:09 GMT 2022","7231","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[1]","Verify faucet work (request drop for several accounts): single request"
"passed","Thu Apr 21 09:56:48 GMT 2022","Thu Apr 21 09:56:48 GMT 2022","99","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_compileLLL]","Check that endpoint was not implemented"
"passed","Thu Apr 21 09:56:36 GMT 2022","Thu Apr 21 09:56:37 GMT 2022","720","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_tags[pending-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 21 09:56:35 GMT 2022","Thu Apr 21 09:56:36 GMT 2022","723","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_tags[latest-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 21 09:56:47 GMT 2022","Thu Apr 21 09:56:48 GMT 2022","98","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_number_and_index[params3-True]","Verify implemented rpc calls work eth_getTransactionByBlockNumberAndIndex"
"passed","Thu Apr 21 09:56:47 GMT 2022","Thu Apr 21 09:56:47 GMT 2022","99","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_hash_and_index[params2-True]","Verify implemented rpc calls work eth_getTransactionByBlockHashAndIndex"
"passed","Thu Apr 21 09:56:45 GMT 2022","Thu Apr 21 09:56:45 GMT 2022","101","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_block_number","Verify implemented rpc calls work work eth_blockNumber"
"skipped","Thu Apr 21 09:59:21 GMT 2022","Thu Apr 21 09:59:21 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_spl","Send negative sum from account: spl (with different precision)"
"passed","Thu Apr 21 09:56:43 GMT 2022","Thu Apr 21 09:56:43 GMT 2022","101","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_umber_via_tags[Tag.PENDING-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 21 09:56:43 GMT 2022","Thu Apr 21 09:56:43 GMT 2022","110","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_umber_via_tags[Tag.EARLIEST-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 21 09:56:51 GMT 2022","Thu Apr 21 09:56:51 GMT 2022","98","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_uninstallFilter]","Check that endpoint was not implemented"
"skipped","Thu Apr 21 09:59:19 GMT 2022","Thu Apr 21 09:59:19 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[0.01]","Send more than exist on account: spl (with different precision)"
"passed","Thu Apr 21 09:56:39 GMT 2022","Thu Apr 21 09:56:40 GMT 2022","726","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_balance","Verify implemented rpc calls work eth_getBalance"
"passed","Thu Apr 21 09:56:37 GMT 2022","Thu Apr 21 09:56:38 GMT 2022","722","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_tags[latest-earliest]","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 21 09:56:46 GMT 2022","Thu Apr 21 09:56:46 GMT 2022","98","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_web3_sha3[0x6865-False]","Verify implemented rpc calls work web3_sha3"
"passed","Thu Apr 21 09:56:50 GMT 2022","Thu Apr 21 09:56:50 GMT 2022","99","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_getFilterChanges]","Check that endpoint was not implemented"
"passed","Thu Apr 21 09:58:32 GMT 2022","Thu Apr 21 09:58:46 GMT 2022","13957","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[20000]","Verify faucet work (request drop for several accounts): double request"
"passed","Thu Apr 21 09:59:21 GMT 2022","Thu Apr 21 09:59:22 GMT 2022","1029","integration.tests.basic","test_transfers","TestTransfer","","","test_send_token_to_an_invalid_address","Send token to an invalid address"
"passed","Thu Apr 21 09:57:31 GMT 2022","Thu Apr 21 09:57:38 GMT 2022","7249","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[20000]","Verify faucet work (request drop for several accounts): single request"
"skipped","Thu Apr 21 09:59:19 GMT 2022","Thu Apr 21 09:59:19 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[1]","Send more than exist on account: spl (with different precision)"
"skipped","Thu Apr 21 09:57:02 GMT 2022","Thu Apr 21 09:57:02 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_spl","Check tokens in wallet: spl"
"passed","Thu Apr 21 09:56:49 GMT 2022","Thu Apr 21 09:56:49 GMT 2022","98","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getUncleCountByBlockHash]","Check that endpoint was not implemented"
"passed","Thu Apr 21 09:57:09 GMT 2022","Thu Apr 21 09:57:16 GMT 2022","7256","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[5]","Verify faucet work (request drop for several accounts): single request"
"passed","Thu Apr 21 09:56:45 GMT 2022","Thu Apr 21 09:56:45 GMT 2022","114","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_storage_at[params0-False]","Verify implemented rpc calls work eht_getStorageAt"
"passed","Thu Apr 21 09:56:43 GMT 2022","Thu Apr 21 09:56:43 GMT 2022","126","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_umber_via_tags[Tag.EARLIEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 21 09:56:41 GMT 2022","Thu Apr 21 09:56:41 GMT 2022","98","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_net_version","Verify implemented rpc calls work work net_version"
"skipped","Thu Apr 21 09:59:19 GMT 2022","Thu Apr 21 09:59:19 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_erc20","Send more than exist on account: ERC20"
"passed","Thu Apr 21 09:56:50 GMT 2022","Thu Apr 21 09:56:50 GMT 2022","98","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_signTransaction]","Check that endpoint was not implemented"
"passed","Thu Apr 21 09:59:18 GMT 2022","Thu Apr 21 09:59:19 GMT 2022","951","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[10000000.1]","Send more than exist on account: neon"
"passed","Thu Apr 21 09:56:47 GMT 2022","Thu Apr 21 09:56:47 GMT 2022","98","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_number_and_index[params0-False]","Verify implemented rpc calls work eth_getTransactionByBlockNumberAndIndex"
"passed","Thu Apr 21 09:56:49 GMT 2022","Thu Apr 21 09:56:49 GMT 2022","120","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getUncleCountByBlockNumber]","Check that endpoint was not implemented"
"passed","Thu Apr 21 09:56:48 GMT 2022","Thu Apr 21 09:56:48 GMT 2022","99","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_hash_rate[param-True]","Verify implemented rpc calls work eth_hashrate"
"passed","Thu Apr 21 09:59:20 GMT 2022","Thu Apr 21 09:59:21 GMT 2022","513","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_neon","Send negative sum from account: neon"
"passed","Thu Apr 21 09:59:19 GMT 2022","Thu Apr 21 09:59:20 GMT 2022","1693","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_neon","Send zero: neon"
"passed","Thu Apr 21 09:56:50 GMT 2022","Thu Apr 21 09:56:50 GMT 2022","99","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_addToGroup]","Check that endpoint was not implemented"
"passed","Thu Apr 21 09:56:50 GMT 2022","Thu Apr 21 09:56:50 GMT 2022","98","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_submitWork]","Check that endpoint was not implemented"
"passed","Thu Apr 21 09:56:33 GMT 2022","Thu Apr 21 09:56:33 GMT 2022","221","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_call[params0-False]","Verify implemented rpc calls work eth_call"
"passed","Thu Apr 21 09:57:52 GMT 2022","Thu Apr 21 09:58:06 GMT 2022","13526","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[5]","Verify faucet work (request drop for several accounts): double request"
"passed","Thu Apr 21 09:56:38 GMT 2022","Thu Apr 21 09:56:39 GMT 2022","758","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_tags[latest-pending]","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 21 09:56:45 GMT 2022","Thu Apr 21 09:56:45 GMT 2022","98","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_mining[param-True]","Verify implemented rpc calls work eth_mining"
"passed","Thu Apr 21 09:56:48 GMT 2022","Thu Apr 21 09:56:48 GMT 2022","97","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_coinbase]","Check that endpoint was not implemented"
"passed","Thu Apr 21 09:56:47 GMT 2022","Thu Apr 21 09:56:47 GMT 2022","104","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_hash_and_index[params0-False]","Verify implemented rpc calls work eth_getTransactionByBlockHashAndIndex"
"passed","Thu Apr 21 09:56:49 GMT 2022","Thu Apr 21 09:56:49 GMT 2022","99","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getUncleByBlockNumberAndIndex]","Check that endpoint was not implemented"
"passed","Thu Apr 21 09:57:38 GMT 2022","Thu Apr 21 09:57:52 GMT 2022","13951","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[1]","Verify faucet work (request drop for several accounts): double request"
"passed","Thu Apr 21 09:56:48 GMT 2022","Thu Apr 21 09:56:48 GMT 2022","98","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_hash_rate[None-False]","Verify implemented rpc calls work eth_hashrate"
"passed","Thu Apr 21 09:56:47 GMT 2022","Thu Apr 21 09:56:47 GMT 2022","98","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_transaction_count_by_number[None-True]","Verify implemented rpc calls work eth_getBlockTransactionCountByNumber"
"passed","Thu Apr 21 09:56:48 GMT 2022","Thu Apr 21 09:56:48 GMT 2022","98","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_compileSolidity]","Check that endpoint was not implemented"
"passed","Thu Apr 21 09:56:43 GMT 2022","Thu Apr 21 09:56:43 GMT 2022","102","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_umber_via_tags[Tag.LATEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 21 09:59:15 GMT 2022","Thu Apr 21 09:59:17 GMT 2022","1684","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1.1]","Send neon from one account to another"
"passed","Thu Apr 21 09:56:33 GMT 2022","Thu Apr 21 09:56:35 GMT 2022","1248","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_estimate_gas[params0-False]","Verify implemented rpc calls work eth_estimateGas"
"passed","Thu Apr 21 09:56:45 GMT 2022","Thu Apr 21 09:56:45 GMT 2022","98","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_mining[None-False]","Verify implemented rpc calls work eth_mining"
